gpu:0
Preparing data...
Preparing done...
average sequence length: 163.50
Epoch 28 iteration 30: 0.5851255655288696
Epoch 28 iteration 40: 0.5581659078598022
Epoch 29 iteration 0: 0.5266799330711365
Epoch 29 iteration 10: 0.5408813953399658
Epoch 29 iteration 20: 0.5604506134986877
Epoch 29 iteration 30: 0.5526303648948669
Epoch 29 iteration 40: 0.5361608862876892
Epoch 30 iteration 0: 0.5398992896080017
Epoch 30 iteration 10: 0.5734719634056091
Epoch 30 iteration 20: 0.5528116226196289
Epoch 30 iteration 30: 0.5846573114395142
Epoch 30 iteration 40: 0.5691566467285156
Epoch 31 iteration 0: 0.504319429397583
Epoch 31 iteration 10: 0.5392524003982544
Epoch 31 iteration 20: 0.5527477860450745
Epoch 31 iteration 30: 0.5433123707771301
Epoch 31 iteration 40: 0.540634274482727
Epoch 32 iteration 0: 0.5451982617378235
Epoch 32 iteration 10: 0.5600740909576416
Epoch 32 iteration 20: 0.5557584762573242
Epoch 32 iteration 30: 0.5528068542480469
Epoch 32 iteration 40: 0.556814432144165
Epoch 33 iteration 0: 0.5500450134277344
Epoch 33 iteration 10: 0.5393630862236023
Epoch 33 iteration 20: 0.5679150223731995
Epoch 33 iteration 30: 0.5250845551490784
Epoch 33 iteration 40: 0.50715172290802
Epoch 34 iteration 0: 0.5343511700630188
Epoch 34 iteration 10: 0.5292016267776489
Epoch 34 iteration 20: 0.5550398230552673
Epoch 34 iteration 30: 0.5200440883636475
Epoch 34 iteration 40: 0.5560346245765686
Epoch 35 iteration 0: 0.5446678400039673
Epoch 35 iteration 10: 0.5343464612960815
Epoch 35 iteration 20: 0.5138434767723083
Epoch 35 iteration 30: 0.5282756090164185
Epoch 35 iteration 40: 0.5103178024291992
Epoch 36 iteration 0: 0.4997149109840393
Epoch 36 iteration 10: 0.57462477684021
Epoch 36 iteration 20: 0.5345386266708374
Epoch 36 iteration 30: 0.535064697265625
Epoch 36 iteration 40: 0.5322675704956055
Epoch 37 iteration 0: 0.5123509168624878
Epoch 37 iteration 10: 0.5344753861427307
Epoch 37 iteration 20: 0.5122902989387512
Epoch 37 iteration 30: 0.5078389644622803
Epoch 37 iteration 40: 0.5124015808105469
Epoch 38 iteration 0: 0.5031394958496094
Epoch 38 iteration 10: 0.510672390460968
Epoch 38 iteration 20: 0.5163441896438599
Epoch 38 iteration 30: 0.5191400647163391
Epoch 38 iteration 40: 0.4940589964389801
Epoch 39 iteration 0: 0.5454362034797668
Epoch 39 iteration 10: 0.5093954801559448
Epoch 39 iteration 20: 0.5130980014801025
Epoch 39 iteration 30: 0.499138742685318
Epoch 39 iteration 40: 0.5058875679969788
Epoch 40 iteration 0: 0.45954111218452454
Epoch 40 iteration 10: 0.5426414012908936
Epoch 40 iteration 20: 0.5208059549331665
Epoch 40 iteration 30: 0.4761195778846741
Epoch 40 iteration 40: 0.5031526684761047
Epoch 41 iteration 0: 0.49461260437965393
Epoch 41 iteration 10: 0.500935435295105
Epoch 41 iteration 20: 0.5081985592842102
Epoch 41 iteration 30: 0.5229852199554443
Epoch 41 iteration 40: 0.475994348526001
Epoch 42 iteration 0: 0.4765535593032837
Epoch 42 iteration 10: 0.5137526988983154
Epoch 42 iteration 20: 0.4918169379234314
Epoch 42 iteration 30: 0.487612247467041
Epoch 42 iteration 40: 0.5121457576751709
Epoch 43 iteration 0: 0.5032392144203186
Epoch 43 iteration 10: 0.5020409822463989
Epoch 43 iteration 20: 0.49083778262138367
Epoch 43 iteration 30: 0.45798224210739136
Epoch 43 iteration 40: 0.49259036779403687
Epoch 44 iteration 0: 0.5032590627670288
Epoch 44 iteration 10: 0.5084009170532227
Epoch 44 iteration 20: 0.49311158061027527
Epoch 44 iteration 30: 0.49383655190467834
Epoch 44 iteration 40: 0.4866351783275604
Epoch 45 iteration 0: 0.49236011505126953
Epoch 45 iteration 10: 0.49374526739120483
Epoch 45 iteration 20: 0.4985402524471283
Epoch 45 iteration 30: 0.4707791805267334
Epoch 45 iteration 40: 0.4990066587924957
Epoch 46 iteration 0: 0.48774781823158264
Epoch 46 iteration 10: 0.48249179124832153
Epoch 46 iteration 20: 0.4929104149341583
Epoch 46 iteration 30: 0.4840100109577179
Epoch 46 iteration 40: 0.4678288400173187
Epoch 47 iteration 0: 0.49501675367355347
Epoch 47 iteration 10: 0.5121474862098694
Epoch 47 iteration 20: 0.47967442870140076
Epoch 47 iteration 30: 0.5076689124107361
Epoch 47 iteration 40: 0.4816124439239502
Epoch 48 iteration 0: 0.5047495365142822
Epoch 48 iteration 10: 0.45786628127098083
Epoch 48 iteration 20: 0.47987815737724304
Epoch 48 iteration 30: 0.4792308211326599
Epoch 48 iteration 40: 0.47598621249198914
Epoch 49 iteration 0: 0.46884462237358093
Epoch 49 iteration 10: 0.4780747890472412
Epoch 49 iteration 20: 0.48346227407455444
Epoch 49 iteration 30: 0.48741185665130615
Epoch 49 iteration 40: 0.4651069939136505
Epoch 50 iteration 0: 0.4620901048183441
Epoch 50 iteration 10: 0.4825265109539032
Epoch 50 iteration 20: 0.46608486771583557
Epoch 50 iteration 30: 0.47743722796440125
Epoch 50 iteration 40: 0.4914131760597229
Epoch 51 iteration 0: 0.4877956807613373
Epoch 51 iteration 10: 0.48395392298698425
Epoch 51 iteration 20: 0.4727866053581238
Epoch 51 iteration 30: 0.47515958547592163
Epoch 51 iteration 40: 0.47375521063804626
Epoch 52 iteration 0: 0.45281943678855896
Epoch 52 iteration 10: 0.45941731333732605
Epoch 52 iteration 20: 0.4687761962413788
Epoch 52 iteration 30: 0.4897415041923523
Epoch 52 iteration 40: 0.46513399481773376
Epoch 53 iteration 0: 0.46482378244400024
Epoch 53 iteration 10: 0.46464869379997253
Epoch 53 iteration 20: 0.4625357985496521
Epoch 53 iteration 30: 0.4808356761932373
Epoch 53 iteration 40: 0.47728338837623596
Epoch 54 iteration 0: 0.45668208599090576
Epoch 54 iteration 10: 0.47063806653022766
Epoch 54 iteration 20: 0.4808550477027893
Epoch 54 iteration 30: 0.49342238903045654
Epoch 54 iteration 40: 0.47323569655418396
Epoch 55 iteration 0: 0.4719916582107544
Epoch 55 iteration 10: 0.46785295009613037
Epoch 55 iteration 20: 0.5016921162605286
Epoch 55 iteration 30: 0.4654836356639862
Epoch 55 iteration 40: 0.4665880799293518
Epoch 56 iteration 0: 0.46756982803344727
Epoch 56 iteration 10: 0.4757847487926483
Epoch 56 iteration 20: 0.4639629125595093
Epoch 56 iteration 30: 0.4723847508430481
Epoch 56 iteration 40: 0.44528791308403015
Epoch 57 iteration 0: 0.43624162673950195
Epoch 57 iteration 10: 0.4370943009853363
Epoch 57 iteration 20: 0.4491080641746521
Epoch 57 iteration 30: 0.4586922824382782
Epoch 57 iteration 40: 0.4773411750793457
Epoch 58 iteration 0: 0.4580647647380829
Epoch 58 iteration 10: 0.4288555979728699
Epoch 58 iteration 20: 0.4854391813278198
Epoch 58 iteration 30: 0.4712471663951874
Epoch 58 iteration 40: 0.4660201072692871
Epoch 59 iteration 0: 0.45042407512664795
Epoch 59 iteration 10: 0.4386710822582245
Epoch 59 iteration 20: 0.4198756814002991
Epoch 59 iteration 30: 0.44772258400917053
Epoch 59 iteration 40: 0.4834956228733063
Epoch 60 iteration 0: 0.4470672607421875
Epoch 60 iteration 10: 0.4112343192100525
Epoch 60 iteration 20: 0.45079320669174194
Epoch 60 iteration 30: 0.4481131136417389
Epoch 60 iteration 40: 0.4428004324436188
/usr/local/lib/python3.8/dist-packages/paddle/tensor/creation.py:130: DeprecationWarning: `np.object` is a deprecated alias for the builtin `object`. To silence this warning, use `object` by itself. Doing this will not modify any behavior and is safe. 
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  if data.dtype == np.object:
/usr/local/lib/python3.8/dist-packages/paddle/fluid/framework.py:744: DeprecationWarning: `np.bool` is a deprecated alias for the builtin `bool`. To silence this warning, use `bool` by itself. Doing this will not modify any behavior and is safe. If you specifically wanted the numpy scalar type, use `np.bool_` here.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  elif dtype == np.bool:
/usr/local/lib/python3.8/dist-packages/paddle/fluid/dygraph/math_op_patch.py:251: UserWarning: The dtype of left and right variables are not the same, left dtype is paddle.float32, but right dtype is paddle.bool, the right dtype will convert to paddle.float32
  warnings.warn(
/usr/local/lib/python3.8/dist-packages/paddle/fluid/dygraph/math_op_patch.py:251: UserWarning: The dtype of left and right variables are not the same, left dtype is paddle.float32, but right dtype is paddle.int64, the right dtype will convert to paddle.float32
  warnings.warn(
Evaluating...

  0%|          | 0/6040 [00:00<?, ?it/s]
